CVEGEO,CENSO,VIVIENDA,HABITANTE,VIAJES_VIVIENDA,VIAJES_ORIGEN,VIAJES_DESTINO
140700013005A,32,32,32,32,32,32
1.407E+12,37F,,,,37F,37F
1.407E+12,37F,37F,37F,37F,37F,37F
1.407E+12,37F,37F,37F,37F,37F,37F
140970041326A,02F,,,,,
1.407E+12,35,,,,,
1.407E+12,35,,,,,
1.407E+12,35,35,35,35,35,35
1.407E+12,35,,,,,
1.407E+12,35,32,32,32,32,32
1.407E+12,35,,,,35,35
1.407E+12,35,35,35,35,35,35
1.407E+12,35,35,35,35,35,35
1.407E+12,35,,,,35,35
1.407E+12,35,35,35,35,35,35
1.407E+12,35,,,,35,35
1.407E+12,35,35,35,35,35,35
1.407E+12,35,,,,,
1.407E+12,35,35,35,35,35,35
140700014083A,35,35,35,35,35,35
1.407E+12,35,35,35,35,35,35
1.407E+12,35,35,35,35,35,35
1.407E+12,35,35,35,35,35,35
1.407E+12,35,35,35,35,35,35
1.407E+12,35,,,,,
1.407E+12,29F,29F,29F,29F,29F,29F
1.4098E+12,34,34,34,34,34,34
1.4098E+12,06B,,,,06B,06B
1.4098E+12,06B,06B,06B,06B,06B,06B
140980001085A,34,34,34,34,34,34
1.4098E+12,34,,,,34,34
1.4098E+12,06B,,,,,
1.4098E+12,06B,,,,06B,06B
1.4098E+12,06B,,,,,
140980001249A,06B,,,,06B,06B
1.4039E+12,06B,,,,06B,06B
1.4039E+12,06B,,,,06B,06B
1.4039E+12,06B,,,,06B,06B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,06B,06B,06B,06B,06B,06B
1.4039E+12,06B,06B,06B,06B,06B,06B
1.4039E+12,06B,,,,06B,06B
1.412E+12,24B,21A,21A,21A,21A,21A
1.4039E+12,70B,,,,70B,70B
1.4039E+12,8,8,8,8,8,8
1.4098E+12,7,,,,7,7
1.4039E+12,7,,,,7,7
1.4039E+12,7,7,7,7,7,7
1.4039E+12,70A,,,,70A,70A
1.4039E+12,06A,06A,06A,06A,06A,06A
1.4039E+12,06A,06A,06A,06A,06A,06A
140390001350A,06A,06A,06A,06A,06A,06A
141200001066A,21B,21A,21A,21A,21A,21A
1.4039E+12,70B,,,,70B,70B
140390001521A,8,8,8,8,8,8
1.4098E+12,7,7,7,7,7,7
1.4098E+12,7,,,,7,7
1.4039E+12,7,,,,7,7
140390001400A,7,7,7,7,7,7
1.4039E+12,7,,,,7,7
1.4039E+12,70B,,,,70B,70B
1.4039E+12,06A,,,,06A,06A
1.4039E+12,06A,06A,06A,06A,06A,06A
1.4039E+12,06A,06A,06A,06A,06A,06A
1.4039E+12,06A,,,,06A,06A
1.4039E+12,06A,,,,06A,06A
1.4039E+12,06A,06A,06A,06A,06A,06A
1.4039E+12,21B,21B,21B,21B,21B,21B
1.4039E+12,21B,21B,21B,21B,21B,21B
1.4039E+12,21B,21B,21B,21B,21B,21B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,8,,,,7,7
1.4039E+12,7,,,,7,7
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,06A,06A,06A,06A,06A,06A
1.4039E+12,21B,21B,21B,21B,21B,21B
140390001254A,21B,21B,21B,21B,21B,21B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4098E+12,34,,,,34,34
1.4098E+12,43,,,,43,43
1.4098E+12,43,43,43,43,43,43
1.4098E+12,06B,06B,06B,06B,06B,06B
1.4098E+12,06B,,,,06B,06B
1.4098E+12,06B,,,,,
1.4098E+12,43,43,43,43,43,43
1.4098E+12,43,43,43,43,43,43
1.4098E+12,43,43,43,43,43,43
1.4039E+12,43,,,,43,43
1.4098E+12,43,43,43,43,43,43
1.4098E+12,43,,,,43,43
1.4039E+12,06B,06B,06B,06B,06B,06B
1.4098E+12,06B,06B,06B,06B,06B,06B
1.4098E+12,43,,,,43,43
1.4098E+12,43,43,43,43,43,43
1.4039E+12,43,43,43,43,43,43
1.4039E+12,43,,,,43,43
1.4039E+12,43,43,43,43,43,43
1.4039E+12,43,,,,43,43
1.4039E+12,43,,,,43,43
140390001279A,06B,06B,06B,06B,06B,06B
1.4039E+12,21B,21B,21B,21B,21B,21B
1.4039E+12,21B,21B,21B,21B,21B,21B
1.4039E+12,21B,21B,21B,21B,21B,21B
1.4098E+12,57,57,57,57,57,57
140980001306A,57,,,,,
1.4098E+12,57,,,,,
1.4098E+12,57,57,57,57,57,57
1.4098E+12,57,,,,,
1.4098E+12,57,57,57,57,57,57
1.4098E+12,43,43,43,43,43,43
1.4098E+12,57,,,,57,57
1.4098E+12,57,,,,,
1.4098E+12,57,,,,57,57
1.4098E+12,43,43,43,43,43,43
1.4098E+12,57,57,57,57,57,57
1.4098E+12,57,57,57,57,57,57
1.4098E+12,57,57,57,57,57,57
1.4098E+12,57,57,57,57,57,57
1.4098E+12,57,57,57,57,57,57
1.4098E+12,43,43,43,43,43,43
1.4098E+12,43,,,,43,43
1.4098E+12,43,43,43,43,43,43
1.4039E+12,43,,,,43,43
1.4039E+12,43,43,43,43,43,43
1.4039E+12,43,43,43,43,43,43
1.4098E+12,43,43,43,43,43,43
1.4098E+12,43,43,43,43,43,43
1.412E+12,24B,,,,24B,24B
1.412E+12,24B,,,,24B,24B
1.4039E+12,21B,21B,21B,21B,21B,21B
140390001464A,43,43,43,43,43,43
1.4098E+12,21B,,,,24B,24B
1.412E+12,21B,21A,21A,21A,21A,21A
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,24B,,,,24B,24B
1.4039E+12,43,43,43,43,43,43
1.4039E+12,21B,21B,21B,21B,21B,21B
1.4039E+12,21B,21B,21B,21B,21B,21B
1.4039E+12,21B,,,,21B,21B
1.4098E+12,34,,,,,
1.4098E+12,34,34,34,34,34,34
1.4098E+12,34,,,,,
1.4098E+12,34,,,,,
1.4098E+12,06B,,,,,
1.4098E+12,34,,,,34,34
1.4098E+12,06B,06B,06B,06B,06B,06B
1.4098E+12,06B,,,,06B,06B
1.4098E+12,06B,,,,06B,06B
1.4098E+12,06B,,,,06B,06B
1.4098E+12,06B,06B,06B,06B,06B,06B
1.4098E+12,43,,,,43,43
1.4098E+12,06B,,,,06B,06B
1.4098E+12,34,,,,,
1.4098E+12,34,,,,,
1.4098E+12,34,34,34,34,34,34
1.4098E+12,34,34,34,34,34,34
1.4098E+12,34,,,,,
1.4098E+12,34,,,,,
140980001313A,34,,,,,
1.4098E+12,34,,,,,
1.4098E+12,34,,,,,
1.4098E+12,34,,,,,
1.4098E+12,34,,,,,
1.4098E+12,06B,,,,,
1.4098E+12,06B,,,,,
1.4098E+12,06B,,,,,
1.4098E+12,06B,,,,,
1.4098E+12,34,,,,,
1.4039E+12,06B,,,,06B,06B
1.4039E+12,06B,,,,,
1.4039E+12,06B,06B,06B,06B,06B,06B
1.4039E+12,06B,,,,06B,06B
1.4039E+12,06B,06B,06B,06B,06B,06B
1.4039E+12,06B,06B,06B,06B,06B,06B
1.4039E+12,06B,06B,06B,06B,06B,06B
1.4039E+12,06B,06B,06B,06B,06B,06B
1.4039E+12,06A,06A,06A,06A,06A,06A
1.4039E+12,06B,,,,06B,06B
140390001539A,06B,,,,06B,06B
1.4039E+12,06B,,,,06B,06B
1.4039E+12,06B,,,,06B,06B
1.4039E+12,43,,,,06B,06B
1.4039E+12,43,43,43,43,43,43
1.4039E+12,43,43,43,43,43,43
140390001553A,43,43,43,43,43,43
1.4039E+12,06B,06B,06B,06B,06B,06B
1.4039E+12,06B,,,,06B,06B
1.4039E+12,06B,06B,06B,06B,06B,06B
1.4039E+12,06B,,,,06B,06B
1.4039E+12,06B,06B,06B,06B,06B,06B
140390001546A,06B,06B,06B,06B,06B,06B
1.4039E+12,06B,,,,06B,06B
1.4039E+12,06B,,,,06B,06B
1.4039E+12,06B,,,,06B,06B
1.412E+12,21A,,,,21A,21A
1.412E+12,21A,21A,21A,21A,21A,21A
1.4039E+12,69A,69A,69A,69A,69A,69A
1.4039E+12,69A,,,,69A,69A
1.4039E+12,69A,69A,69A,69A,69A,69A
1.4039E+12,69A,69A,69A,69A,69A,69A
1.4039E+12,69A,69A,69A,69A,69A,69A
1.4039E+12,69A,69A,69A,69A,69A,69A
1.4039E+12,69A,69A,69A,69A,69A,69A
1.4039E+12,69A,69A,69A,69A,69A,69A
1.4039E+12,69A,69A,69A,69A,69A,69A
1.4039E+12,21B,21B,21B,21B,21B,21B
1.4039E+12,69A,69A,69A,69A,69A,69A
1.4039E+12,69A,69A,69A,69A,69A,69A
1.4039E+12,21B,,,,21B,21B
1.4039E+12,21B,,,,21B,21B
1.4039E+12,69A,,,,69A,69A
1.4039E+12,70B,,,,70B,70B
1.4039E+12,21B,,,,21B,21B
1.4039E+12,21B,,,,21B,21B
1.4039E+12,70B,70B,70B,70B,70B,70B
140390001133A,70B,,,,70B,70B
1.4039E+12,21B,21B,21B,21B,21B,21B
1.412E+12,21A,,,,21A,21A
1.412E+12,21A,21A,21A,21A,21A,21A
1.412E+12,21A,21A,21A,21A,21A,21A
1.4039E+12,21B,21B,21B,21B,21B,21B
1.4039E+12,69A,,,,69A,69A
1.4039E+12,21A,21B,21B,21B,21B,21B
1.4039E+12,21B,,,,21B,21B
1.412E+12,21A,,,,21A,21A
1.412E+12,21A,21A,21A,21A,21A,21A
1.4039E+12,21A,21B,21B,21B,21B,21B
1.4039E+12,21B,,,,21B,21B
1.4039E+12,21B,21B,21B,21B,21B,21B
1.412E+12,69B,69B,69B,69B,69B,69B
1.4039E+12,69A,69A,69A,69A,69A,69A
1.4039E+12,69A,69A,69A,69A,69A,69A
1.4039E+12,69A,69A,69A,69A,69A,69A
1.4039E+12,69A,69A,69A,69A,69A,69A
1.412E+12,69A,69A,69A,69A,69A,69A
1.4039E+12,69A,69A,69A,69A,69A,69A
1.4039E+12,69A,69A,69A,69A,69A,69A
140390001215A,70B,,,,70B,70B
1.4039E+12,21B,21B,21B,21B,21B,21B
1.4039E+12,06A,06A,06A,06A,06A,06A
1.4039E+12,21B,,,,21B,21B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,21B,,,,21B,21B
1.4039E+12,21B,21B,21B,21B,21B,21B
1.4039E+12,21B,,,,21B,21B
1.4039E+12,21B,21B,21B,21B,21B,21B
1.4039E+12,21B,21B,21B,21B,21B,21B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,21B,,,,21B,21B
1.4039E+12,21B,,,,21B,21B
1.4039E+12,21B,,,,21B,21B
1.4039E+12,21B,21B,21B,21B,21B,21B
140390001457A,21B,,,,21B,21B
1.4039E+12,21B,,,,21B,21B
1.4039E+12,21B,,,,21B,21B
1.4039E+12,21B,21B,21B,21B,21B,21B
1.4039E+12,21B,21B,21B,21B,21B,21B
1.4039E+12,69A,,,,69A,69A
1.4039E+12,69A,,,,69A,69A
1.4039E+12,70B,,,,70B,70B
140390001158A,70B,,,,70B,70B
1.4039E+12,06A,06A,06A,06A,06A,06A
1.4039E+12,06A,06A,06A,06A,06A,06A
1.4039E+12,06A,,,,06A,06A
1.4039E+12,06A,06A,06A,06A,06A,06A
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,69A,,,,69A,69A
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,69A,,,,69A,69A
1.4039E+12,69A,69A,69A,69A,69A,69A
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,69A,,,,69A,69A
1.4039E+12,70B,,,,70B,70B
1.4039E+12,69A,,,,69A,69A
1.4039E+12,70B,,,,,
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4098E+12,18,18,18,18,18,18
1.4098E+12,32,32,32,32,32,32
1.4098E+12,18,18,18,18,18,18
1.4098E+12,18,18,18,18,18,18
140980001224A,18,,,,18,18
1.4098E+12,06B,,,,06B,06B
1.4098E+12,18,18,18,18,18,18
1.4098E+12,18,,,,18,18
1.4098E+12,18,18,18,18,18,18
1.4098E+12,06B,,,,06B,06B
1.4098E+12,06B,,,,06B,06B
1.4098E+12,18,,,,18,18
1.4098E+12,18,,,,18,18
1.4098E+12,06B,06B,06B,06B,06B,06B
1.4098E+12,06B,,,,06B,06B
1.4098E+12,06B,06B,06B,06B,06B,06B
1.4098E+12,7,7,7,7,7,7
1.4098E+12,18,18,18,18,18,18
1.4098E+12,7,7,7,7,7,7
140390001368A,06A,06A,06A,06A,06A,06A
1.4039E+12,06B,06B,06B,06B,06B,06B
1.4039E+12,06B,,,,06B,06B
1.4098E+12,7,7,7,7,7,7
1.4098E+12,7,,,,7,7
140980001135A,06B,06B,06B,06B,06B,06B
1.4098E+12,06B,06B,06B,06B,06B,06B
1.4098E+12,06B,06B,06B,06B,06B,06B
1.4098E+12,06B,06B,06B,06B,06B,06B
1.4098E+12,06B,06B,06B,06B,06B,06B
1.4098E+12,32,32,32,32,32,32
1.4098E+12,06B,,,,06B,06B
1.4098E+12,06B,,,,06B,06B
1.4098E+12,34,34,34,34,34,34
1.4098E+12,06B,06B,06B,06B,06B,06B
1.4098E+12,06B,,,,06B,06B
1.4098E+12,06B,06B,06B,06B,06B,06B
140980001053A,06A,06A,06A,06A,06A,06A
1.4039E+12,06A,06A,06A,06A,06A,06A
1.4039E+12,06A,06A,06A,06A,06A,06A
1.4039E+12,06A,06A,06A,06A,06A,06A
1.4039E+12,06A,06A,06A,06A,06A,06A
1.4039E+12,06B,,,,06B,06B
1.4039E+12,06A,06A,06A,06A,06A,06A
140390001471A,7,,,,7,7
1.4039E+12,7,7,7,7,7,7
1.4039E+12,7,,,,7,7
1.4098E+12,18,,,,18,18
1.4098E+12,18,,,,18,18
1.4098E+12,32,32,32,32,32,32
1.4098E+12,32,32,32,32,32,32
1.4098E+12,32,32,32,32,32,32
1.4098E+12,18,,,,18,18
140980001181A,32,32,32,32,32,32
1.4098E+12,32,32,32,32,32,32
1.4098E+12,18,18,18,18,18,18
1.4098E+12,18,18,18,18,18,18
140980001263A,18,,,,18,18
1.4098E+12,32,,,,,
1.4098E+12,18,,,,18,18
1.4098E+12,18,,,,18,18
1.4098E+12,18,,,,,
1.4098E+12,18,18,18,18,18,18
1.4098E+12,7,,,,7,7
1.4098E+12,18,18,18,18,18,18
1.4098E+12,18,,,,18,18
140980001103A,18,,,,18,18
1.4098E+12,7,7,7,7,7,7
1.4098E+12,7,7,7,7,7,7
140980001217A,7,,,,7,7
1.4098E+12,7,,,,7,7
1.4098E+12,7,,,,7,7
140980001110A,18,18,18,18,18,18
1.4098E+12,18,18,18,18,18,18
1.4098E+12,18,,,,18,18
1.4098E+12,7,,,,7,7
140980001007A,7,7,7,7,7,7
1.4098E+12,7,7,7,7,7,7
1.4098E+12,18,,,,18,18
1.4098E+12,18,,,,18,18
1.4098E+12,7,7,7,7,7,7
1.4098E+12,7,,,,7,7
1.4098E+12,7,7,7,7,7,7
1.4098E+12,7,,,,7,7
1.4098E+12,7,,,,,
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,5,5,5,5,5,5
1.4039E+12,5,5,5,5,5,5
1.4039E+12,9,,,,9,9
1.4039E+12,70A,,,,70A,70A
1.4039E+12,9,9,9,9,9,9
1.4039E+12,9,,,,9,9
1.4039E+12,9,9,9,9,9,9
1.4039E+12,9,9,9,9,9,9
140390001140A,70A,70A,70A,70A,70A,70A
1.4039E+12,9,9,9,9,9,9
1.4039E+12,9,,,,9,9
1.4039E+12,9,,,,9,9
1.4039E+12,9,9,9,9,9,9
1.4039E+12,9,,,,9,9
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,9,9,9,9,9,9
1.4039E+12,7,,,,7,7
1.4039E+12,7,,,,7,7
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70A,,,,70A,70A
1.4039E+12,7,,,,7,7
1.4039E+12,7,,,,7,7
1.4039E+12,7,,,,7,7
1.4039E+12,7,7,7,7,7,7
140390001261A,7,,,,7,7
1.4039E+12,70A,,,,70A,70A
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,70A,,,,70A,70A
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,70A,,,,70A,70A
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,70A,,,,70A,70A
1.4039E+12,70A,,,,70A,70A
140390001197A,70A,,,,70A,70A
1.4039E+12,70A,,,,70A,70A
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70A,,,,70A,70A
1.4039E+12,70A,,,,70A,70A
1.4039E+12,7,7,7,7,7,7
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,70A,,,,70A,70A
140390001165A,70A,70A,70A,70A,70A,70A
1.4039E+12,70A,,,,70A,70A
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70A,,,,70A,70A
140390001489A,70A,70A,70A,70A,70A,70A
140390001069A,70B,70B,70B,70B,70B,70B
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70B,,,,70B,70B
140390001101A,70B,,,,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,70B,70B,70B,70B,70B
140390001037A,70B,,,,,
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,70A,70A,70A,70A,70A,70A
140390001382A,70A,,,,5,5
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70A,70A,70A,70A,70A,70A
1.4039E+12,9,,,,9,9
1.4039E+12,9,,,,9,9
1.4039E+12,7,,,,7,7
1.4039E+12,7,7,7,7,7,7
1.4039E+12,7,,,,7,7
1.4039E+12,9,7,7,7,7,7
1.4039E+12,7,7,7,7,7,7
1.4039E+12,8,,,,8,8
1.4039E+12,7,7,7,7,7,7
1.4039E+12,8,8,8,8,8,8
1.4039E+12,7,7,7,7,7,7
1.4039E+12,7,7,7,7,7,7
1.4039E+12,7,7,7,7,7,7
1.4039E+12,7,,,,7,7
1.4039E+12,7,,,,7,7
1.4039E+12,9,,,,9,9
1.4039E+12,9,,,,7,7
1.4039E+12,8,,,,8,8
1.4039E+12,8,8,8,8,8,8
1.4039E+12,8,8,8,8,8,8
1.4039E+12,8,,,,8,8
1.4039E+12,8,,,,8,8
1.4039E+12,9,9,9,9,9,9
1.4039E+12,9,,,,9,9
1.4039E+12,9,,,,,
140390001172A,9,,,,9,9
1.4039E+12,9,8,8,8,8,8
1.4039E+12,5,5,5,5,5,5
1.4039E+12,5,,,,5,5
140390001051A,9,,,,9,9
1.4039E+12,9,9,9,9,9,9
1.4039E+12,9,,,,9,9
1.4039E+12,5,,,,5,5
1.4039E+12,9,9,9,9,9,9
1.4039E+12,5,5,5,5,5,5
1.4039E+12,9,,,,9,9
140390001083A,9,9,9,9,9,9
1.4039E+12,9,,,,9,9
1.4039E+12,9,9,9,9,9,9
1.4039E+12,9,,,,9,9
140390001119A,70A,70A,70A,70A,70A,70A
140390001044A,5,,,,5,5
1.4039E+12,5,5,5,5,5,5
1.4039E+12,9,9,9,9,9,9
140390001090A,9,9,9,9,9,9
1.4039E+12,9,,,,9,9
1.4039E+12,5,5,5,5,5,5
1.4039E+12,5,,,,5,5
1.4039E+12,5,5,5,5,5,5
1.4039E+12,9,9,9,9,9,9
1.4039E+12,9,,,,9,9
1.412E+12,26,,,,26,26
1.412E+12,26,,,,26,26
1.412E+12,44,44,44,44,44,44
1.412E+12,68B,68B,68B,68B,68B,68B
1.412E+12,68B,68B,68B,68B,68B,68B
1.412E+12,68B,,,,68B,68B
1.412E+12,68B,68B,68B,68B,68B,68B
1.412E+12,68B,68B,68B,68B,68B,68B
1.412E+12,68B,68B,68B,68B,68B,68B
141200056,46F,,,,,
141200129,46F,,,,,
141200018,63F,,,,,
1.412E+12,61,61,61,61,61,61
1.412E+12,61,,,,,
1.412E+12,61,,,,,
1.412E+12,61,61,61,61,61,61
1.412E+12,61,,,,,
1.412E+12,61,,,,61,61
1.412E+12,61,,,,61,61
1.412E+12,61,,,,61,61
141200537,61,,,,,
1.412E+12,61,,,,61,61
1.412E+12,61,61,61,61,61,61
1.412E+12,61,,,,61,61
1.412E+12,26,26,26,26,26,26
1.412E+12,61,26,26,26,26,26
1.412E+12,26,26,26,26,26,26
141200751,65B,,,,,
1.412E+12,61,61,61,61,61,61
1.412E+12,61,,,,61,61
1.412E+12,61,,,,,
1.41201E+12,14F,14F,14F,14F,14F,14F
141200460,NA,,,,,
141200006,NA,,,,,
141200313,NA,,,,,
141200315,NA,,,,,
1.412E+12,14F,14F,14F,14F,14F,14F
1.412E+12,14F,14F,14F,14F,14F,14F
141200263,15,,,,,
1.412E+12,15,15,15,15,15,15
1.412E+12,15,,,,15,15
1.412E+12,15,,,,,
1.412E+12,15,15,15,15,15,15
1.412E+12,61,61,61,61,61,61
141200528,15,,,,,
1.412E+12,15,15,15,15,15,15
1.412E+12,61,15,15,15,15,15
1.412E+12,15,,,,,
1.412E+12,15,15,15,15,15,15
1.412E+12,15,,,,,
1.412E+12,15,,,,,
141200231415A,15,15,15,15,15,15
1.412E+12,61,61,61,61,61,61
1.412E+12,15,,,,,
1.412E+12,15,,,,,
1.412E+12,61,,,,,
141200369,NA,,,,,
1.412E+12,61,,,,,
1.412E+12,61,,,,61,61
1.412E+12,15,,,,,
141200280,NA,,,,,
1.412E+12,61,,,,61,61
1.412E+12,61,61,61,61,61,61
1.412E+12,61,,,,,
1.412E+12,61,,,,,
1.412E+12,61,,,,,
1.412E+12,61,,,,,
1.412E+12,61,,,,,
1.412E+12,61,,,,,
141200134,65B,,,,,
1.412E+12,65B,,,,65B,65B
1.412E+12,61,61,61,61,61,61
1.412E+12,65B,,,,65B,65B
1.412E+12,65B,,,,65B,65B
1.412E+12,65B,,,,65B,65B
141200001689A,61,61,61,61,61,61
1.412E+12,61,61,61,61,61,61
1.412E+12,65B,,,,65B,65B
1.412E+12,65B,65B,65B,65B,65B,65B
1.412E+12,65B,,,,,
1.412E+12,65B,,,,65B,65B
1.412E+12,65B,65B,65B,65B,65B,65B
141200001326A,65B,65B,65B,65B,65B,65B
1.412E+12,68B,65B,65B,65B,65B,65B
1.412E+12,68B,,,,68B,68B
1.412E+12,68B,68B,68B,68B,68B,68B
1.412E+12,65B,,,,65B,65B
141200001714A,65B,,,,,
1.412E+12,65B,,,,65B,65B
1.412E+12,65B,,,,65B,65B
1.412E+12,65B,,,,65B,65B
1.412E+12,65B,,,,65B,65B
141200319,65A,,,,,
1.412E+12,65B,,,,65B,65B
1.412E+12,65B,,,,65B,65B
1.412E+12,65B,,,,65B,65B
141200001529A,65B,,,,,
1.412E+12,65B,,,,,
1.412E+12,65B,,,,65B,65B
141200300,61,,,,,
1.412E+12,61,61,61,61,61,61
1.412E+12,65B,65B,65B,65B,65B,65B
1.412E+12,65B,65B,65B,65B,65B,65B
1.412E+12,65B,65B,65B,65B,65B,65B
1.412E+12,65B,,,,,
1.412E+12,65B,,,,65B,65B
1.412E+12,69B,,,,69B,69B
1.412E+12,68B,68B,68B,68B,68B,68B
1.412E+12,65B,,,,65B,65B
1.412E+12,26,26,26,26,26,26
1.412E+12,26,26,26,26,26,26
1.412E+12,65B,65B,65B,65B,65B,65B
1.412E+12,26,26,26,26,26,26
1.412E+12,65B,,,,65B,65B
1.412E+12,65B,,,,65B,65B
1.412E+12,65B,,,,65B,65B
1.412E+12,65B,,,,65B,65B
1.412E+12,65B,65B,65B,65B,65B,65B
1.412E+12,65B,,,,65B,65B
141200001575A,65B,,,,65B,65B
1.412E+12,65B,65B,65B,65B,65B,65B
1.412E+12,61,61,61,61,61,61
141200001671A,61,,,,61,61
1.412E+12,26,26,26,26,26,26
1.412E+12,26,,,,,
1.412E+12,26,26,26,26,26,26
1.412E+12,26,26,26,26,26,26
1.412E+12,26,26,26,26,26,26
1.412E+12,61,,,,61,61
1.412E+12,61,,,,61,61
1.412E+12,46F,,,,61,61
1.41201E+12,61,61,61,61,61,61
1.412E+12,61,,,,61,61
1.412E+12,61,,,,61,61
141200356,46F,,,,,
141200748,61,,,,,
141200231205A,61,61,61,61,61,61
1.412E+12,61,61,61,61,61,61
1.412E+12,61,,,,,
1.412E+12,61,61,61,61,61,61
1.412E+12,61,,,,61,61
141200761,61,,,,,
1.412E+12,61,,,,,
1.412E+12,61,,,,61,61
1.412E+12,61,61,61,61,61,61
141200231625A,61,,,,61,61
141200231696A,61,61,61,61,61,61
1.412E+12,61,,,,,
1.412E+12,61,61,61,61,61,61
1.412E+12,61,61,61,61,61,61
141200738,61,,,,,
141200471,61,,,,,
1.412E+12,61,61,61,61,61,61
1.41201E+12,61,61,61,61,61,61
141200544,61,,,,,
141200771,61,,,,,
1.41201E+12,61,,,,61,61
1.412E+12,61,61,61,61,61,61
1.412E+12,61,,,,61,61
1.41201E+12,61,61,61,61,61,61
1.41201E+12,61,61,61,61,61,61
1.412E+12,61,,,,61,61
1.412E+12,26,26,26,26,26,26
141200183,63F,,,,,
1.412E+12,61,,,,61,61
141200057,63F,,,,,
1.412E+12,61,,,,61,61
141200001739A,26,26,26,26,26,26
141200218,63F,,,,,
1.412E+12,46F,46F,46F,46F,46F,46F
1.412E+12,46F,46F,46F,46F,46F,46F
1.412E+12,46F,46F,46F,46F,46F,46F
1.41201E+12,46F,46F,46F,46F,46F,46F
141200755,46F,,,,,
1.41201E+12,46F,46F,46F,46F,46F,46F
141200764,46F,,,,,
1.41201E+12,46F,46F,46F,46F,46F,46F
1.41201E+12,46F,46F,46F,46F,46F,46F
1.41201E+12,46F,46F,46F,46F,46F,46F
1.41201E+12,46F,46F,46F,46F,46F,46F
